V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_3	O42248	2.8099999999999992e-103	Guanine nucleotide-binding protein subunit beta-2-like 1 (Receptor of activated protein kinase C) (RACK)	Danio rerio (Zebrafish) (Brachydanio rerio)	angiogenesis [GO:0001525]; convergent extension involved in gastrulation [GO:0060027]; negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of gastrulation [GO:2000543]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cell division [GO:0051302]; regulation of establishment of cell polarity [GO:2000114]; regulation of protein localization [GO:0032880]; rescue of stalled ribosome [GO:0072344]	GO:0001525; GO:0001934; GO:0005080; GO:0005634; GO:0005737; GO:0005829; GO:0005840; GO:0030178; GO:0032880; GO:0043022; GO:0045182; GO:0051302; GO:0060027; GO:0072344; GO:1990904; GO:2000114; GO:2000543
Ab_contig_5	Q08013	1.4e-28	Translocon-associated protein subunit gamma (TRAP-gamma) (Signal sequence receptor subunit gamma) (SSR-gamma)	Rattus norvegicus (Rat)	SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	GO:0005783; GO:0005784; GO:0006614
Ab_contig_6	P12234	7.28e-24	Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)	Bos taurus (Bovine)	mitochondrial phosphate ion transmembrane transport [GO:1990547]; phosphate ion transmembrane transport [GO:0035435]	GO:0005315; GO:0005739; GO:0005743; GO:0015293; GO:0035435; GO:0044877; GO:1990547
Ab_contig_9	Q41629	6.06e-28	ADP,ATP carrier protein 1, mitochondrial (ADP/ATP translocase 1) (Adenine nucleotide translocator 1) (ANT 1)	Triticum aestivum (Wheat)	mitochondrial ADP transmembrane transport [GO:0140021]; mitochondrial ATP transmembrane transport [GO:1990544]	GO:0005471; GO:0005743; GO:0140021; GO:1990544
Ab_contig_13	Q32NG4	1.51e-28	Glutamine amidotransferase-like class 1 domain-containing protein 1 (Parkinson disease 7 domain-containing protein 1)	Xenopus laevis (African clawed frog)		GO:0005576
Ab_contig_23	Q9GNE2	6.8e-44	60S ribosomal protein L23 (AeRpL17A) (L17A)	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904
Ab_contig_31	B3EWZ9	1.8e-44	Hephaestin-like protein (EC 1.-.-.-)	Acropora millepora (Staghorn coral) (Heteropora millepora)	copper ion transport [GO:0006825]	GO:0005507; GO:0005576; GO:0006825; GO:0016020; GO:0016491
Ab_contig_31	B3EWZ9	9.17e-30	Hephaestin-like protein (EC 1.-.-.-)	Acropora millepora (Staghorn coral) (Heteropora millepora)	copper ion transport [GO:0006825]	GO:0005507; GO:0005576; GO:0006825; GO:0016020; GO:0016491
Ab_contig_31	B3EWZ9	1.1900000000000001e-27	Hephaestin-like protein (EC 1.-.-.-)	Acropora millepora (Staghorn coral) (Heteropora millepora)	copper ion transport [GO:0006825]	GO:0005507; GO:0005576; GO:0006825; GO:0016020; GO:0016491
Ab_contig_32	Q641Y2	6.409999999999998e-72	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	Rattus norvegicus (Rat)	cellular response to oxygen levels [GO:0071453]; gliogenesis [GO:0042063]; mitochondrial ATP synthesis coupled electron transport [GO:0042775]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; neural precursor cell proliferation [GO:0061351]; neurogenesis [GO:0022008]; response to oxidative stress [GO:0006979]	GO:0005654; GO:0005743; GO:0005747; GO:0006120; GO:0006979; GO:0008137; GO:0019826; GO:0022008; GO:0031625; GO:0032981; GO:0042063; GO:0042775; GO:0046872; GO:0048038; GO:0051287; GO:0051539; GO:0061351; GO:0071453
Ab_contig_37	Q9D3D9	4.3599999999999995e-43	ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)	Mus musculus (Mouse)	aerobic respiration [GO:0009060]; ATP metabolic process [GO:0046034]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; proton transmembrane transport [GO:1902600]	GO:0000275; GO:0005739; GO:0005740; GO:0005743; GO:0005753; GO:0009060; GO:0015078; GO:0015986; GO:0016887; GO:0033615; GO:0042776; GO:0044877; GO:0045259; GO:0045261; GO:0046034; GO:0046933; GO:1902600
